	Country	City	Latitude	Longitude	Temperature (F)	Humidity (%)	Cloudiness (%)	Wind Speed (mph)
416	hn	la ermita	14.416666699999999	-87.1	75.2	83	40	9.17
417	my	pulau sebang	2.455	102.2329	87.8	70	75	2.24
418	ro	radomiresti	44.116667	24.683332999999998	50	100	90	5.82
419	ru	namtsy	62.716111	129.66583300000002	16.31	81	92	8.75
420	ro	dersca	47.983333	26.2	42.8	100	90	13.87
421	no	skotterud	59.983332999999995	12.116667	37.78	100	92	7.4
422	us	centerville	40.9180556	-111.8713889	55.4	92	1	4.7
423	br	matipo	-20.283333	-42.35	71.08	64	92	3.94
424	us	homer	59.6425	-151.5483333	37.4	59	75	6.93
425	ph	nagsabaran	16.666667	120.33333300000001	75.62	88	24	2.48
426	il	haifa	32.815556	34.989167	59	82	20	4.7
427	ro	crucea	47.35	25.616667	42.8	100	90	13.87
428	az	ramana	40.442221999999994	49.980556	55.4	87	75	4.7
429	tr	terme	41.209167	36.973889	67.25	88	20	12.66
430	es	zafra	38.416667	-6.4166669999999995	45.11	77	0	5.06
431	mx	cotija	19.816667000000002	-102.68333299999999	71.48	45	12	4.61
432	ro	dumbraveni	45.533333	27.116667	51.73	100	92	7.18
433	ca	kenora	49.766667	-94.466667	42.8	64	90	18.34
434	ru	soluno-dmitriyevskoye	44.4074	42.724	40.43	92	76	11.54
435	ru	karmaskaly	54.3709	56.1837	23	92	75	8.95
436	us	westminster	33.7591667	-118.00583329999999	93.2	21	1	11.1
437	hu	nagyszenas	46.683333000000005	20.666667	50	87	90	12.75
438	ru	vyksa	55.3175	42.174444	27.56	100	92	6.96
439	ru	prochnookopskaya	45.0666	41.1175	42.32	93	24	13.44
440	jp	ayase	35.386462	139.417373	64.4	55	90	5.82
441	ro	paltin	45.783333	26.716666999999998	51.73	100	92	7.18
442	ca	viking	53.083332999999996	-111.78333300000001	35.39	62	0	2.93
443	ru	nizhneyansk	71.43333299999999	136.066667	-0.43	77	68	7.4
444	ph	managpi	13.3108	121.204	77.6	99	88	6.17
445	vn	qui nhon	13.766667000000002	109.233333	79.31	97	92	14.79
446	in	bhopal	23.266667	77.4	71.6	60	0	5.82
447	lu	schouweiler	49.5825	5.9563889	50	100	75	8.05
448	gr	perama	35.3697222	24.6972222	64.4	82	75	4.7
449	ph	pinagsibaan	13.838056	121.31888899999998	82.69	91	20	11.43
450	ru	psyzh	44.233056	42.018333	36.65	88	44	6.4
451	ph	san jose	12.5296	124.4875	84.49	90	12	15.12
452	ro	nadlac	46.166667	20.75	50	93	92	16.11
453	ro	cocora	44.733333	27.05	57.04	87	92	14.67
454	ru	ryabovo	59.4	31.133333	33.8	84	90	6.71
455	ng	inisa	7.8	4.283333	72.2	97	8	4.72
456	ru	mukhtolovo	55.467507	43.199734	25.58	87	76	3.71
457	hn	el chichicaste	14.066666699999999	-86.3	66.76	99	92	2.04
458	ph	santa cruz	8.603611	124.91194399999999	75.71	100	80	0.69
459	lt	zarasai	55.7333333	26.25	29.63	92	36	8.19
460	ph	pangpang	15.9395	120.3099	78.86	92	24	2.37
461	us	fort walton beach	30.405555600000003	-86.6188889	62.6	87	1	7.74
462	gr	kostakioi	39.1375	20.958888899999998	55.4	93	75	3.36
463	pl	grodzisk mazowiecki	52.106384000000006	20.623141	42.8	87	75	5.82
464	ru	kanadey	53.167857999999995	47.526436	26.57	86	80	5.5
465	tn	tatawin	32.929674	10.451767	60.8	72	0	2.24
466	jp	nabari	34.616667	136.083333	62.6	51	75	4.7
467	ru	biysk	52.536389	85.207222	33.77	92	32	7.07
468	mx	merida	20.966667	-89.616667	78.8	88	75	5.5
469	mx	villahermosa	17.983333	-92.916667	73.4	100	90	6.73
470	pa	chepo	9.166666699999999	-79.1	78.8	100	75	3.36
471	be	denderleeuw	50.883333	4.066667	57.2	93	75	8.05
472	de	hochstadt	49.7	10.8	50	100	90	5.82
473	ru	burayevo	55.840693	55.408336	22.16	88	64	5.95
474	hu	gegeny	48.15	21.95	48.2	70	75	8.95
475	om	sur	22.5666667	59.5288889	80.66	100	0	6.4
476	ph	pidsandawan	6.932222	124.590833	86.74	74	8	4.5
477	lr	bensonville	6.4461110999999995	-10.6125	74.23	94	36	3.15
478	tz	kabanga	-2.625	30.481944399999996	59.78	86	68	2.48
479	jp	kurobe	36.865783	137.43636	60.8	63	75	3.36
480	pa	parita	8.0	-80.5166667	76.48	98	76	6.4
481	us	highland park	40.4958333	-74.4247222	71.6	83	75	8.05
482	ve	la fria	8.218888900000001	-72.2483333	82.4	54	40	3.04
483	pe	chongoyape	-6.6405556	-79.3891667	62.6	88	90	14.99
484	gr	polikastron	40.9936111	22.5658333	55.4	62	40	12.75
485	ru	mogocha	53.733332999999995	119.766667	33.14	51	0	9.98
486	ph	san jose	15.7923	120.9894	82.28	80	0	3.04
487	mt	xewkija	36.032778	14.258056	62.6	48	20	13.87
488	mx	el higo	21.766667	-98.466667	72.79	99	88	2.15
489	in	kotar	24.716667	80.983333	79.36	36	0	4.16
490	ru	bodaybo	57.850556000000005	114.19333300000001	24.19	58	80	7.74
491	ph	marantao	7.95	124.233333	80.84	71	68	3.04
492	de	leuna	51.316666999999995	12.016667	50	93	75	6.93
493	do	sabana grande de boya	18.95	-69.8	77	83	20	5.82
494	no	agotnes	60.406110999999996	5.018889	44.66	100	92	25.08
495	ph	coron	11.9986	120.2043	83.18	97	68	13.44
496	et	dabat	12.984167	37.765	55.37	91	0	3.49
497	us	cape canaveral	28.405555600000003	-80.605	80.6	88	1	13.87
498	de	schoneiche	52.216667	13.516667000000002	46.4	100	20	4.7
499	us	west freehold	40.241944399999994	-74.3016667	71.6	83	75	14.99
